Country,Completelydissatisfied,2,3,4,5,6,7,8,9,Completely satisfied,Sum
Azerbaijan,126,71,194,259,504,184,202,235,98,90,1728
Argentina,36,24,26,45,171,104,187,209,81,190,864
Australia,11,20,51,60,187,136,334,600,340,301,1440
Belarus,261,183,327,269,530,151,154,117,44,36,1955
Chile,20,9,30,56,148,166,141,188,91,149,810
China,51,48,63,74,179,201,210,255,167,247,1240
Colombia,104,49,69,105,278,304,520,1253,1059,2263,4751
Georgia,357,122,209,220,394,200,157,165,80,93,1832
India,133,57,107,110,226,216,269,299,217,291,1626
Japan,16,16,39,45,148,206,180,247,77,55,782
New Zealand,17,8,33,27,97,78,167,292,202,251,880
Nigeria,106,74,108,154,199,224,256,315,236,315,1672
Poland,49,34,49,71,235,137,155,165,87,160,977
South Africa,311,168,255,307,483,256,262,359,185,338,2565
Spain,15,11,46,65,219,191,349,27,182,98,1176
Sweden,6,5,17,33,69,57,164,286,195,175,721
Turkey,143,39,107,95,514,155,181,245,71,349,1654
Ukraine,518,266,436,352,550,190,129,120,49,59,2549
United States,14,19,27,42,122,115,238,395,278,286,1141
