Country,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Don´t know,Sum
Argentina,906,73,11,7,2,999
Australia,1173,224,12,1,0,1410
Brazil,998,410,64,25,0,1497
Chile,825,144,20,7,0,996
China,175,203,21,1,14,414
Georgia,1372,122,4,0,1,1499
Germany,166,341,22,10,13,552
Ghana,109,345,80,17,1,552
India,1709,227,29,14,21,2000
Jordan,1154,36,1,3,0,1194
Morocco,1069,120,6,1,0,1196
New Zealand,820,65,6,4,29,924
Poland,721,256,21,2,0,1000
Rwanda,1095,362,44,4,2,1507
South Africa,2523,392,48,21,4,2988
Spain,1102,82,14,1,1,1200
Sweden,940,56,3,1,0,1000
Thailand,1224,283,17,7,0,1531
Turkey,1286,51,8,0,1,1346
Ukraine,758,204,13,6,14,995
Egypt,2934,107,10,0,0,3051
United States,879,305,25,4,0,1213
