Country,Most people can be trusted,Need to be very careful,Don´t know,Sum
Argentina,174,815,11,1000
Australia,648,756,0,1404
Brazil,139,1339,0,1478
Chile,124,861,7,992
China,981,884,110,1975
Georgia,264,1191,40,1495
Germany,697,1196,136,2029
Ghana,130,1397,6,1533
India,414,1364,223,2001
Japan,401,625,70,1096
Jordan,368,824,0,1192
Morocco,153,1024,0,1177
New Zealand,463,442,0,905
Poland,181,773,44,998
Rwanda,73,1426,4,1503
Spain,237,947,12,1196
Sweden,654,308,0,962
Thailand,633,892,0,1525
Turkey,65,1274,4,1343
Ukraine,245,644,28,917
Egypt,564,2481,4,3049
United States,489,753,0,1242
