Country,Strongly agree,Agree,Disagree,Strongly disagree,Don´t know,Sum
Azerbaijan,122,318,455,107,0,1002
Argentina,280,514,154,72,3,1023
Australia,204,782,427,48,0,1461
Brazil,545,503,282,140,12,1482
Belarus,143,530,710,143,9,1535
Chile,160,515,217,95,11,998
China,165,834,837,98,89,2023
Colombia,358,725,303,123,3,1512
Ecuador,362,351,271,217,0,1201
Georgia,275,436,278,195,18,1202
Germany,192,793,792,245,24,2046
Ghana,392,536,482,142,0,1552
Japan,142,1405,338,43,515,2443
Jordan,187,416,330,267,0,1200
Morocco,159,277,339,328,65,1168
New Zealand,93,397,316,19,0,825
Nigeria,387,550,635,187,0,1759
Pakistan,364,509,242,85,0,1200
Poland,103,500,312,22,29,966
Rwanda,327,546,480,174,0,1527
South Africa,109,1569,521,297,54,2550
Spain,169,670,278,61,9,1187
Sweden,172,639,335,47,11,1204
Thailand,188,549,391,52,0,1180
Tunisia,318,446,256,165,20,1205
Turkey,431,681,342,131,16,1601
Ukraine,375,594,463,67,0,1499
Egypt,315,327,573,308,0,1523
United States,319,1175,642,56,0,2192
