Country,Completely dissatisfied,2,3,4,5,6,7,8,9,Completely satisfied,Sum
Azerbaijan,43,24,27,48,138,124,194,195,124,84,1001
Argentina,5,4,11,31,61,114,230,312,143,108,1019
Australia,15,34,56,71,124,106,244,432,237,148,1467
Brazil,27,21,22,33,156,103,171,285,168,497,1483
Belarus,40,61,150,147,305,218,258,216,78,58,1531
Chile,6,9,21,41,80,126,210,261,123,111,988
China,26,40,77,135,272,302,421,568,236,180,2257
Colombia,8,6,16,25,78,66,156,343,247,567,1512
Ecuador,10,3,13,18,79,92,177,316,263,231,1202
Georgia,85,61,122,116,301,96,160,125,42,92,1200
Germany,19,38,62,74,163,141,369,618,313,244,2041
Ghana,61,76,119,143,189,189,259,269,128,121,1554
India,126,100,156,336,585,643,707,553,355,493,4054
Japan,31,28,85,141,295,269,449,620,271,192,2381
Jordan,47,32,44,41,181,152,264,223,84,132,1200
Morocco,51,36,85,92,379,116,97,92,29,196,1173
New Zealand,9,8,20,24,50,72,126,234,136,150,829
Nigeria,60,82,122,182,179,201,316,319,160,137,1758
Pakistan,23,8,28,56,65,145,186,237,207,244,1199
Poland,22,6,15,35,138,99,175,265,113,98,966
Rwanda,9,18,33,94,204,424,337,279,89,40,1527
South Africa,145,89,151,218,414,432,636,714,353,367,3519
Spain,10,11,27,55,161,178,299,271,86,68,1166
Sweden,5,3,26,35,91,80,261,366,195,141,1203
Thailand,7,4,14,27,152,161,184,224,152,271,1196
Tunisia,135,53,66,58,279,180,177,81,35,134,1198
Turkey,35,27,41,58,132,173,312,364,237,224,1603
Ukraine,103,60,127,102,244,187,219,255,101,102,1500
Egypt,298,101,211,95,149,121,191,222,62,74,1524
United States,27,29,56,101,161,162,383,672,422,207,2220
