Country,Agree strongly,Agree,Disagree,Strongly disagree,Don´t know,Sum
Azerbaijan,432,469,70,15,17,1003
Argentina,297,502,165,31,28,1023
Australia,280,778,378,26,0,1462
Brazil,688,649,126,12,7,1482
Belarus,506,694,228,90,17,1535
Chile,323,502,112,28,35,1000
China,277,1017,694,38,210,2236
Colombia,617,775,91,17,7,1507
Ecuador,930,201,60,11,0,1202
Georgia,664,428,68,35,4,1199
Germany,528,821,453,138,12,1952
Ghana,1113,401,32,5,0,1551
India,2479,1216,116,34,233,4078
Japan,115,1241,331,33,723,2443
Jordan,982,187,20,6,5,1200
Morocco,858,268,33,2,30,1191
New Zealand,110,329,276,44,47,806
Nigeria,1367,348,41,3,0,1759
Pakistan,875,273,45,5,2,1200
Poland,267,463,132,21,72,955
Rwanda,770,577,159,21,0,1527
South Africa,1797,1403,173,102,56,3531
Spain,342,629,168,31,10,1180
Sweden,201,531,369,80,15,1196
Thailand,714,388,67,24,0,1193
Tunisia,1021,133,13,5,33,1205
Turkey,1041,477,49,16,16,1599
Ukraine,535,653,243,69,0,1500
Egypt,1174,300,46,3,0,1523
United States,494,123,423,67,0,1107
